dataset,difficulty,exact_match,single_choice_acc,f1,jaccard,error_rate,em_std,n
TimeDial,0.760289,0.075,0.0,0.474861,0.375,0.291667,0.072169,12
SI-Bench,0.611744,0.3125,0.3125,0.356944,0.345139,0.275,0.151554,12
CosmosQA,0.342106,0.611586,0.611586,0.638034,0.630619,0.113969,0.102113,12
pasta,0.330781,0.583333,0.651042,0.770853,0.722778,0.120833,0.147667,12
tracie,0.269884,0.695833,0.695833,0.701389,0.7,0.104167,0.03796,12
SocialIQA,0.26269,0.708333,0.708333,0.743056,0.731944,0.145833,0.120474,12
DROP,0.215466,0.7625,0.7625,0.7975,0.786458,0.1125,0.164728,12
narrative-qa,0.210863,0.766667,0.766667,0.766667,0.766667,0.095833,0.058926,12
HellaSwag,0.169738,0.8125,0.8125,0.823611,0.820833,0.095833,0.054486,12
qasper,0.165207,0.820833,0.820833,0.833611,0.830208,0.1125,0.077616,12
PIQA,0.109458,0.883333,0.883333,0.891667,0.889583,0.075,0.084984,12
TempReason,0.078402,0.9125,0.9125,0.9425,0.93125,0.004167,0.169712,12
TimeQA,0.0,1.0,1.0,1.0,1.0,0.0,0.0,12
