group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
overall,all,3203,0.686232,0.74271,0.746624,0.730659,0.118639
model_style,doubao-seed-1-8-251228|single,268,0.727612,0.778689,0.762935,0.754353,0.119403
model_style,doubao-seed-1-8-251228|multi_v1,267,0.707865,0.769547,0.745318,0.735955,0.134831
model_style,doubao-seed-1-8-251228|multi_v2,266,0.718045,0.77686,0.768672,0.756266,0.112782
model_style,doubao-seed-1-8-251228|multi_v3,267,0.741573,0.794239,0.781523,0.771536,0.086142
model_style,doubao-seed-2-0-pro-260215|single,267,0.677903,0.728395,0.702871,0.696629,0.224719
model_style,doubao-seed-2-0-pro-260215|multi_v1,266,0.672932,0.735537,0.697995,0.691729,0.236842
model_style,doubao-seed-2-0-pro-260215|multi_v2,266,0.695489,0.760331,0.72807,0.719925,0.191729
model_style,doubao-seed-2-0-pro-260215|multi_v3,266,0.669173,0.731405,0.689223,0.684211,0.25188
model_style,gpt-4o-mini|single,268,0.738806,0.79918,0.798507,0.783582,0.022388
model_style,gpt-4o-mini|multi_v1,268,0.544776,0.586066,0.732978,0.679602,0.011194
model_style,gpt-4o-mini|multi_v2,267,0.730337,0.790123,0.79638,0.77965,0.022472
model_style,gpt-4o-mini|multi_v3,267,0.610487,0.662551,0.754432,0.714107,0.011236
model_style_dataset,doubao-seed-1-8-251228|single|CosmosQA,28,0.642857,0.642857,0.642857,0.642857,0.035714
model_style_dataset,doubao-seed-1-8-251228|single|DROP,20,0.8,0.8,0.8,0.8,0.2
model_style_dataset,doubao-seed-1-8-251228|single|HellaSwag,20,0.85,0.85,0.85,0.85,0.05
model_style_dataset,doubao-seed-1-8-251228|single|PIQA,20,0.95,0.95,0.95,0.95,0.0
model_style_dataset,doubao-seed-1-8-251228|single|SI-Bench,20,0.35,0.35,0.383333,0.375,0.25
model_style_dataset,doubao-seed-1-8-251228|single|SocialIQA,20,0.8,0.8,0.8,0.8,0.15
model_style_dataset,doubao-seed-1-8-251228|single|TempReason,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|single|TimeDial,20,0.2,0.0,0.54,0.458333,0.3
model_style_dataset,doubao-seed-1-8-251228|single|TimeQA,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|single|narrative-qa,20,0.65,0.65,0.65,0.65,0.2
model_style_dataset,doubao-seed-1-8-251228|single|pasta,20,0.7,0.8125,0.8,0.775,0.1
model_style_dataset,doubao-seed-1-8-251228|single|qasper,20,0.85,0.85,0.85,0.85,0.15
model_style_dataset,doubao-seed-1-8-251228|single|tracie,20,0.7,0.7,0.7,0.7,0.15
model_style_dataset,doubao-seed-1-8-251228|multi_v1|CosmosQA,27,0.592593,0.592593,0.592593,0.592593,0.111111
model_style_dataset,doubao-seed-1-8-251228|multi_v1|DROP,20,0.9,0.9,0.9,0.9,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v1|HellaSwag,20,0.8,0.8,0.8,0.8,0.15
model_style_dataset,doubao-seed-1-8-251228|multi_v1|PIQA,20,0.95,0.95,0.95,0.95,0.05
model_style_dataset,doubao-seed-1-8-251228|multi_v1|SI-Bench,20,0.35,0.35,0.383333,0.375,0.15
model_style_dataset,doubao-seed-1-8-251228|multi_v1|SocialIQA,20,0.65,0.65,0.65,0.65,0.3
model_style_dataset,doubao-seed-1-8-251228|multi_v1|TempReason,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|multi_v1|TimeDial,20,0.05,0.0,0.416667,0.325,0.4
model_style_dataset,doubao-seed-1-8-251228|multi_v1|TimeQA,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|multi_v1|narrative-qa,20,0.8,0.8,0.8,0.8,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v1|pasta,20,0.65,0.75,0.75,0.725,0.2
model_style_dataset,doubao-seed-1-8-251228|multi_v1|qasper,20,0.8,0.8,0.8,0.8,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v1|tracie,20,0.7,0.7,0.7,0.7,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v2|CosmosQA,26,0.576923,0.576923,0.576923,0.576923,0.115385
model_style_dataset,doubao-seed-1-8-251228|multi_v2|DROP,20,0.8,0.8,0.8,0.8,0.2
model_style_dataset,doubao-seed-1-8-251228|multi_v2|HellaSwag,20,0.8,0.8,0.8,0.8,0.15
model_style_dataset,doubao-seed-1-8-251228|multi_v2|PIQA,20,0.95,0.95,0.95,0.95,0.05
model_style_dataset,doubao-seed-1-8-251228|multi_v2|SI-Bench,20,0.5,0.5,0.5,0.5,0.05
model_style_dataset,doubao-seed-1-8-251228|multi_v2|SocialIQA,20,0.7,0.7,0.7,0.7,0.2
model_style_dataset,doubao-seed-1-8-251228|multi_v2|TempReason,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|multi_v2|TimeDial,20,0.1,0.0,0.506667,0.408333,0.3
model_style_dataset,doubao-seed-1-8-251228|multi_v2|TimeQA,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|multi_v2|narrative-qa,20,0.8,0.8,0.8,0.8,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v2|pasta,20,0.6,0.6875,0.833333,0.775,0.05
model_style_dataset,doubao-seed-1-8-251228|multi_v2|qasper,20,0.8,0.8,0.833333,0.825,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v2|tracie,20,0.75,0.75,0.75,0.75,0.15
model_style_dataset,doubao-seed-1-8-251228|multi_v3|CosmosQA,27,0.666667,0.666667,0.666667,0.666667,0.037037
model_style_dataset,doubao-seed-1-8-251228|multi_v3|DROP,20,0.9,0.9,0.9,0.9,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v3|HellaSwag,20,0.8,0.8,0.8,0.8,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v3|PIQA,20,0.9,0.9,0.9,0.9,0.05
model_style_dataset,doubao-seed-1-8-251228|multi_v3|SI-Bench,20,0.35,0.35,0.35,0.35,0.15
model_style_dataset,doubao-seed-1-8-251228|multi_v3|SocialIQA,20,0.8,0.8,0.8,0.8,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v3|TempReason,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|multi_v3|TimeDial,20,0.2,0.0,0.566667,0.475,0.25
model_style_dataset,doubao-seed-1-8-251228|multi_v3|TimeQA,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-1-8-251228|multi_v3|narrative-qa,20,0.85,0.85,0.85,0.85,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v3|pasta,20,0.65,0.75,0.816667,0.775,0.1
model_style_dataset,doubao-seed-1-8-251228|multi_v3|qasper,20,0.8,0.8,0.8,0.8,0.05
model_style_dataset,doubao-seed-1-8-251228|multi_v3|tracie,20,0.75,0.75,0.75,0.75,0.1
model_style_dataset,doubao-seed-2-0-pro-260215|single|CosmosQA,27,0.481481,0.481481,0.481481,0.481481,0.222222
model_style_dataset,doubao-seed-2-0-pro-260215|single|DROP,20,0.8,0.8,0.8,0.8,0.2
model_style_dataset,doubao-seed-2-0-pro-260215|single|HellaSwag,20,0.8,0.8,0.8,0.8,0.15
model_style_dataset,doubao-seed-2-0-pro-260215|single|PIQA,20,0.95,0.95,0.95,0.95,0.05
model_style_dataset,doubao-seed-2-0-pro-260215|single|SI-Bench,20,0.2,0.2,0.2,0.2,0.7
model_style_dataset,doubao-seed-2-0-pro-260215|single|SocialIQA,20,0.75,0.75,0.75,0.75,0.25
model_style_dataset,doubao-seed-2-0-pro-260215|single|TempReason,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-2-0-pro-260215|single|TimeDial,20,0.1,0.0,0.366667,0.3,0.5
model_style_dataset,doubao-seed-2-0-pro-260215|single|TimeQA,20,1.0,1.0,1.0,1.0,0.0
model_style_dataset,doubao-seed-2-0-pro-260215|single|narrative-qa,20,0.75,0.75,0.75,0.75,0.15
model_style_dataset,doubao-seed-2-0-pro-260215|single|pasta,20,0.7,0.75,0.766667,0.75,0.2
model_style_dataset,doubao-seed-2-0-pro-260215|single|qasper,20,0.7,0.7,0.7,0.7,0.3
model_style_dataset,doubao-seed-2-0-pro-260215|single|tracie,20,0.65,0.65,0.65,0.65,0.2
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|CosmosQA,26,0.461538,0.461538,0.461538,0.461538,0.346154
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|DROP,20,0.85,0.85,0.85,0.85,0.15
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|HellaSwag,20,0.8,0.8,0.8,0.8,0.2
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|PIQA,20,0.95,0.95,0.95,0.95,0.05
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|SI-Bench,20,0.2,0.2,0.2,0.2,0.7
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|SocialIQA,20,0.75,0.75,0.75,0.75,0.2
model_style_dataset,doubao-seed-2-0-pro-260215|multi_v1|TempReason,20,1.0,1.0,1.0,1.0,0.0
