tier,style,hardest_dataset,difficulty,exact_match,single_choice_acc,f1,jaccard,error_rate
T1,single,TimeDial,0.741722,0.116667,0.0,0.496667,0.402778,0.266667
T1,multi_v1,TimeDial,0.779611,0.066667,0.0,0.473333,0.372222,0.316667
T1,multi_v2,TimeDial,0.776222,0.05,0.0,0.485,0.377778,0.25
T1,multi_v3,TimeDial,0.7875,0.066667,0.0,0.444445,0.347222,0.333333
T2,single,CosmosQA,0.320326,0.636684,0.636684,0.644621,0.642636,0.085979
T2,multi_v1,CosmosQA,0.400423,0.541853,0.541853,0.610901,0.591456,0.152422
T2,multi_v2,pasta,0.323958,0.583333,0.645833,0.788889,0.736111,0.1
T2,multi_v3,pasta,0.379903,0.516667,0.5625,0.754445,0.694444,0.116667
T3,single,tracie,0.286667,0.683333,0.683333,0.683333,0.683333,0.116667
T3,multi_v1,SocialIQA,0.35,0.6,0.6,0.688889,0.661111,0.166667
T3,multi_v2,tracie,0.241667,0.733333,0.733333,0.733333,0.733333,0.1
T3,multi_v3,tracie,0.2675,0.7,0.7,0.7,0.7,0.083333
T4,single,narrative-qa,0.275,0.7,0.7,0.7,0.7,0.133333
T4,multi_v1,DROP,0.277444,0.666667,0.666667,0.775556,0.741667,0.083333
T4,multi_v2,DROP,0.204167,0.783333,0.783333,0.783333,0.783333,0.133333
T4,multi_v3,narrative-qa,0.213333,0.766667,0.766667,0.766667,0.766667,0.1
T5,single,PIQA,0.078333,0.916667,0.916667,0.916667,0.916667,0.05
T5,multi_v1,TempReason,0.143917,0.816667,0.816667,0.89,0.8625,0.0
T5,multi_v2,PIQA,0.114167,0.883333,0.883333,0.883333,0.883333,0.1
T5,multi_v3,PIQA,0.111667,0.883333,0.883333,0.883333,0.883333,0.083333
