model,dataset,style,n_pairs,em_single,em_style,delta_em,f1_single,f1_style,delta_f1,worse_count,better_count,equal_count,worse_rate,verdict
doubao-seed-1-8-251228,TimeDial,multi_v1,20,0.1,0.2,0.1,0.433333,0.466667,0.033333,0,2,18,0.0,easier_than_single
doubao-seed-1-8-251228,TimeDial,multi_v2,20,0.1,0.25,0.15,0.433333,0.523333,0.09,1,4,15,0.05,easier_than_single
doubao-seed-1-8-251228,TimeDial,multi_v3,20,0.1,0.15,0.05,0.433333,0.416667,-0.016667,0,1,19,0.0,easier_than_single
doubao-seed-1-8-251228,CosmosQA,multi_v1,20,0.4,0.35,-0.05,0.4,0.35,-0.05,2,1,17,0.1,harder_than_single
doubao-seed-1-8-251228,CosmosQA,multi_v2,20,0.4,0.4,0.0,0.4,0.4,0.0,1,1,18,0.05,no_clear_difference
doubao-seed-1-8-251228,CosmosQA,multi_v3,20,0.4,0.35,-0.05,0.4,0.35,-0.05,1,0,19,0.05,harder_than_single
doubao-seed-1-8-251228,tracie,multi_v1,20,0.5,0.55,0.05,0.5,0.55,0.05,1,2,17,0.05,easier_than_single
doubao-seed-1-8-251228,tracie,multi_v2,20,0.5,0.5,0.0,0.5,0.5,0.0,2,2,16,0.1,no_clear_difference
doubao-seed-1-8-251228,tracie,multi_v3,20,0.5,0.35,-0.15,0.5,0.35,-0.15,3,0,17,0.15,harder_than_single
doubao-seed-1-8-251228,narrative-qa,multi_v1,20,0.5,0.35,-0.15,0.5,0.35,-0.15,3,0,17,0.15,harder_than_single
doubao-seed-1-8-251228,narrative-qa,multi_v2,20,0.5,0.3,-0.2,0.5,0.3,-0.2,4,0,16,0.2,harder_than_single
doubao-seed-1-8-251228,narrative-qa,multi_v3,20,0.5,0.45,-0.05,0.5,0.45,-0.05,2,1,17,0.1,harder_than_single
doubao-seed-1-8-251228,PIQA,multi_v1,20,0.95,0.6,-0.35,0.95,0.6,-0.35,7,0,13,0.35,harder_than_single
doubao-seed-1-8-251228,PIQA,multi_v2,20,0.95,0.8,-0.15,0.95,0.8,-0.15,3,0,17,0.15,harder_than_single
doubao-seed-1-8-251228,PIQA,multi_v3,20,0.95,0.9,-0.05,0.95,0.9,-0.05,1,0,19,0.05,harder_than_single
doubao-seed-2-0-pro-260215,TimeDial,multi_v1,20,0.05,0.1,0.05,0.35,0.2,-0.15,0,1,19,0.0,easier_than_single
doubao-seed-2-0-pro-260215,TimeDial,multi_v2,20,0.05,0.1,0.05,0.35,0.266667,-0.083333,0,1,19,0.0,easier_than_single
doubao-seed-2-0-pro-260215,TimeDial,multi_v3,20,0.05,0.05,0.0,0.35,0.25,-0.1,0,0,20,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,CosmosQA,multi_v1,20,0.25,0.1,-0.15,0.25,0.1,-0.15,3,0,17,0.15,harder_than_single
doubao-seed-2-0-pro-260215,CosmosQA,multi_v2,20,0.25,0.2,-0.05,0.25,0.2,-0.05,1,0,19,0.05,harder_than_single
doubao-seed-2-0-pro-260215,CosmosQA,multi_v3,20,0.25,0.3,0.05,0.25,0.3,0.05,0,1,19,0.0,easier_than_single
doubao-seed-2-0-pro-260215,tracie,multi_v1,20,0.4,0.25,-0.15,0.4,0.25,-0.15,4,1,15,0.2,harder_than_single
doubao-seed-2-0-pro-260215,tracie,multi_v2,20,0.4,0.2,-0.2,0.4,0.2,-0.2,4,0,16,0.2,harder_than_single
doubao-seed-2-0-pro-260215,tracie,multi_v3,20,0.4,0.3,-0.1,0.4,0.3,-0.1,2,0,18,0.1,harder_than_single
doubao-seed-2-0-pro-260215,narrative-qa,multi_v1,20,0.35,0.25,-0.1,0.35,0.25,-0.1,2,0,18,0.1,harder_than_single
doubao-seed-2-0-pro-260215,narrative-qa,multi_v2,20,0.35,0.25,-0.1,0.35,0.25,-0.1,2,0,18,0.1,harder_than_single
doubao-seed-2-0-pro-260215,narrative-qa,multi_v3,20,0.35,0.35,0.0,0.35,0.35,0.0,0,0,20,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,PIQA,multi_v1,20,0.9,0.55,-0.35,0.9,0.55,-0.35,7,0,13,0.35,harder_than_single
