group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
overall,all,1200,0.461667,0.536458,0.5325,0.515,0.318333
model,doubao-seed-1-8-251228,400,0.4475,0.515625,0.5045,0.490417,0.375
model_style,doubao-seed-1-8-251228|single,100,0.49,0.5875,0.556667,0.54,0.33
model_style,doubao-seed-1-8-251228|multi_v1,100,0.41,0.4625,0.463333,0.45,0.41
model_style,doubao-seed-1-8-251228|multi_v2,100,0.45,0.5,0.504667,0.491667,0.39
model_style,doubao-seed-1-8-251228|multi_v3,100,0.44,0.5125,0.493333,0.48,0.37
model,doubao-seed-2-0-pro-260215,400,0.3275,0.390625,0.365833,0.35625,0.5475
model_style,doubao-seed-2-0-pro-260215|single,100,0.39,0.475,0.45,0.435,0.45
model_style,doubao-seed-2-0-pro-260215|multi_v1,100,0.25,0.2875,0.27,0.265,0.66
model_style,doubao-seed-2-0-pro-260215|multi_v2,100,0.3,0.35,0.333333,0.325,0.57
model_style,doubao-seed-2-0-pro-260215|multi_v3,100,0.37,0.45,0.41,0.4,0.51
model,gpt-4o-mini,400,0.61,0.703125,0.727167,0.698333,0.0325
model_style,gpt-4o-mini|single,100,0.61,0.75,0.723333,0.695,0.03
model_style,gpt-4o-mini|multi_v1,100,0.64,0.7,0.792667,0.755,0.01
model_style,gpt-4o-mini|multi_v2,100,0.56,0.625,0.676,0.648333,0.06
model_style,gpt-4o-mini|multi_v3,100,0.63,0.7375,0.716667,0.695,0.03
model_dataset,doubao-seed-1-8-251228|TimeDial,80,0.175,0.0,0.46,0.389583,0.4
model_dataset_style,doubao-seed-1-8-251228|TimeDial|single,20,0.1,0.0,0.433333,0.35,0.4
model_dataset_style,doubao-seed-1-8-251228|TimeDial|multi_v1,20,0.2,0.0,0.466667,0.4,0.4
model_dataset_style,doubao-seed-1-8-251228|TimeDial|multi_v2,20,0.25,0.0,0.523333,0.458333,0.35
model_dataset_style,doubao-seed-1-8-251228|TimeDial|multi_v3,20,0.15,0.0,0.416667,0.35,0.45
model_dataset,doubao-seed-1-8-251228|CosmosQA,80,0.375,0.375,0.375,0.375,0.3
model_dataset_style,doubao-seed-1-8-251228|CosmosQA|single,20,0.4,0.4,0.4,0.4,0.35
model_dataset_style,doubao-seed-1-8-251228|CosmosQA|multi_v1,20,0.35,0.35,0.35,0.35,0.3
model_dataset_style,doubao-seed-1-8-251228|CosmosQA|multi_v2,20,0.4,0.4,0.4,0.4,0.35
model_dataset_style,doubao-seed-1-8-251228|CosmosQA|multi_v3,20,0.35,0.35,0.35,0.35,0.2
model_dataset,doubao-seed-1-8-251228|tracie,80,0.475,0.475,0.475,0.475,0.4375
model_dataset_style,doubao-seed-1-8-251228|tracie|single,20,0.5,0.5,0.5,0.5,0.4
model_dataset_style,doubao-seed-1-8-251228|tracie|multi_v1,20,0.55,0.55,0.55,0.55,0.35
model_dataset_style,doubao-seed-1-8-251228|tracie|multi_v2,20,0.5,0.5,0.5,0.5,0.4
model_dataset_style,doubao-seed-1-8-251228|tracie|multi_v3,20,0.35,0.35,0.35,0.35,0.6
model_dataset,doubao-seed-1-8-251228|narrative-qa,80,0.4,0.4,0.4,0.4,0.55
model_dataset_style,doubao-seed-1-8-251228|narrative-qa|single,20,0.5,0.5,0.5,0.5,0.45
model_dataset_style,doubao-seed-1-8-251228|narrative-qa|multi_v1,20,0.35,0.35,0.35,0.35,0.6
model_dataset_style,doubao-seed-1-8-251228|narrative-qa|multi_v2,20,0.3,0.3,0.3,0.3,0.65
model_dataset_style,doubao-seed-1-8-251228|narrative-qa|multi_v3,20,0.45,0.45,0.45,0.45,0.5
model_dataset,doubao-seed-1-8-251228|PIQA,80,0.8125,0.8125,0.8125,0.8125,0.1875
model_dataset_style,doubao-seed-1-8-251228|PIQA|single,20,0.95,0.95,0.95,0.95,0.05
model_dataset_style,doubao-seed-1-8-251228|PIQA|multi_v1,20,0.6,0.6,0.6,0.6,0.4
model_dataset_style,doubao-seed-1-8-251228|PIQA|multi_v2,20,0.8,0.8,0.8,0.8,0.2
model_dataset_style,doubao-seed-1-8-251228|PIQA|multi_v3,20,0.9,0.9,0.9,0.9,0.1
model_dataset,doubao-seed-2-0-pro-260215|TimeDial,80,0.075,0.0,0.266667,0.21875,0.6375
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|single,20,0.05,0.0,0.35,0.275,0.5
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|multi_v1,20,0.1,0.0,0.2,0.175,0.75
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|multi_v2,20,0.1,0.0,0.266667,0.225,0.65
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|multi_v3,20,0.05,0.0,0.25,0.2,0.65
model_dataset,doubao-seed-2-0-pro-260215|CosmosQA,80,0.2125,0.2125,0.2125,0.2125,0.525
model_dataset_style,doubao-seed-2-0-pro-260215|CosmosQA|single,20,0.25,0.25,0.25,0.25,0.55
model_dataset_style,doubao-seed-2-0-pro-260215|CosmosQA|multi_v1,20,0.1,0.1,0.1,0.1,0.65
model_dataset_style,doubao-seed-2-0-pro-260215|CosmosQA|multi_v2,20,0.2,0.2,0.2,0.2,0.5
model_dataset_style,doubao-seed-2-0-pro-260215|CosmosQA|multi_v3,20,0.3,0.3,0.3,0.3,0.4
model_dataset,doubao-seed-2-0-pro-260215|tracie,80,0.2875,0.2875,0.2875,0.2875,0.6375
model_dataset_style,doubao-seed-2-0-pro-260215|tracie|single,20,0.4,0.4,0.4,0.4,0.45
model_dataset_style,doubao-seed-2-0-pro-260215|tracie|multi_v1,20,0.25,0.25,0.25,0.25,0.7
model_dataset_style,doubao-seed-2-0-pro-260215|tracie|multi_v2,20,0.2,0.2,0.2,0.2,0.7
model_dataset_style,doubao-seed-2-0-pro-260215|tracie|multi_v3,20,0.3,0.3,0.3,0.3,0.7
model_dataset,doubao-seed-2-0-pro-260215|narrative-qa,80,0.3,0.3,0.3,0.3,0.7
model_dataset_style,doubao-seed-2-0-pro-260215|narrative-qa|single,20,0.35,0.35,0.35,0.35,0.65
model_dataset_style,doubao-seed-2-0-pro-260215|narrative-qa|multi_v1,20,0.25,0.25,0.25,0.25,0.75
model_dataset_style,doubao-seed-2-0-pro-260215|narrative-qa|multi_v2,20,0.25,0.25,0.25,0.25,0.75
model_dataset_style,doubao-seed-2-0-pro-260215|narrative-qa|multi_v3,20,0.35,0.35,0.35,0.35,0.65
model_dataset,doubao-seed-2-0-pro-260215|PIQA,80,0.7625,0.7625,0.7625,0.7625,0.2375
model_dataset_style,doubao-seed-2-0-pro-260215|PIQA|single,20,0.9,0.9,0.9,0.9,0.1
model_dataset_style,doubao-seed-2-0-pro-260215|PIQA|multi_v1,20,0.55,0.55,0.55,0.55,0.45
model_dataset_style,doubao-seed-2-0-pro-260215|PIQA|multi_v2,20,0.75,0.75,0.75,0.75,0.25
model_dataset_style,doubao-seed-2-0-pro-260215|PIQA|multi_v3,20,0.85,0.85,0.85,0.85,0.15
model_dataset,gpt-4o-mini|TimeDial,80,0.2375,0.0,0.660833,0.558333,0.0125
model_dataset_style,gpt-4o-mini|TimeDial|single,20,0.05,0.0,0.583333,0.45,0.0
model_dataset_style,gpt-4o-mini|TimeDial|multi_v1,20,0.4,0.0,0.746667,0.666667,0.0
model_dataset_style,gpt-4o-mini|TimeDial|multi_v2,20,0.3,0.0,0.68,0.591667,0.05
model_dataset_style,gpt-4o-mini|TimeDial|multi_v3,20,0.2,0.0,0.633333,0.525,0.0
model_dataset,gpt-4o-mini|CosmosQA,80,0.6375,0.6375,0.75,0.720833,0.0375
model_dataset_style,gpt-4o-mini|CosmosQA|single,20,0.7,0.7,0.733333,0.725,0.05
model_dataset_style,gpt-4o-mini|CosmosQA|multi_v1,20,0.5,0.5,0.783333,0.708333,0.0
model_dataset_style,gpt-4o-mini|CosmosQA|multi_v2,20,0.55,0.55,0.683333,0.65,0.05
model_dataset_style,gpt-4o-mini|CosmosQA|multi_v3,20,0.8,0.8,0.8,0.8,0.05
model_dataset,gpt-4o-mini|tracie,80,0.6375,0.6375,0.645833,0.64375,0.0125
model_dataset_style,gpt-4o-mini|tracie|single,20,0.7,0.7,0.7,0.7,0.0
model_dataset_style,gpt-4o-mini|tracie|multi_v1,20,0.75,0.75,0.783333,0.775,0.0
