model,dataset,style,n_pairs,em_single,em_style,delta_em,f1_single,f1_style,delta_f1,worse_count,better_count,equal_count,worse_rate,verdict
doubao-seed-1-8-251228,TimeDial,multi_v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
doubao-seed-1-8-251228,TimeDial,multi_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
doubao-seed-1-8-251228,TimeDial,multi_v3,1,0.0,0.0,0.0,0.0,0.666667,0.666667,0,0,1,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,TimeDial,multi_v1,1,0.0,0.0,0.0,0.666667,0.0,-0.666667,0,0,1,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,TimeDial,multi_v2,1,0.0,0.0,0.0,0.666667,0.0,-0.666667,0,0,1,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,TimeDial,multi_v3,1,0.0,0.0,0.0,0.666667,0.666667,0.0,0,0,1,0.0,no_clear_difference
gpt-4o-mini,TimeDial,multi_v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
gpt-4o-mini,TimeDial,multi_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
gpt-4o-mini,TimeDial,multi_v3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
doubao-seed-1-8-251228,__ALL__,multi_v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
doubao-seed-1-8-251228,__ALL__,multi_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
doubao-seed-1-8-251228,__ALL__,multi_v3,1,0.0,0.0,0.0,0.0,0.666667,0.666667,0,0,1,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,__ALL__,multi_v1,1,0.0,0.0,0.0,0.666667,0.0,-0.666667,0,0,1,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,__ALL__,multi_v2,1,0.0,0.0,0.0,0.666667,0.0,-0.666667,0,0,1,0.0,no_clear_difference
doubao-seed-2-0-pro-260215,__ALL__,multi_v3,1,0.0,0.0,0.0,0.666667,0.666667,0.0,0,0,1,0.0,no_clear_difference
gpt-4o-mini,__ALL__,multi_v1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
gpt-4o-mini,__ALL__,multi_v2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
gpt-4o-mini,__ALL__,multi_v3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,no_clear_difference
