group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
overall,all,12,0.0,0.0,0.166667,0.125,0.416667
model,doubao-seed-1-8-251228,4,0.0,0.0,0.166667,0.125,0.75
model_style,doubao-seed-1-8-251228|single,1,0.0,0.0,0.0,0.0,1.0
model_style,doubao-seed-1-8-251228|multi_v1,1,0.0,0.0,0.0,0.0,1.0
model_style,doubao-seed-1-8-251228|multi_v2,1,0.0,0.0,0.0,0.0,1.0
model_style,doubao-seed-1-8-251228|multi_v3,1,0.0,0.0,0.666667,0.5,0.0
model,doubao-seed-2-0-pro-260215,4,0.0,0.0,0.333333,0.25,0.5
model_style,doubao-seed-2-0-pro-260215|single,1,0.0,0.0,0.666667,0.5,0.0
model_style,doubao-seed-2-0-pro-260215|multi_v1,1,0.0,0.0,0.0,0.0,1.0
model_style,doubao-seed-2-0-pro-260215|multi_v2,1,0.0,0.0,0.0,0.0,1.0
model_style,doubao-seed-2-0-pro-260215|multi_v3,1,0.0,0.0,0.666667,0.5,0.0
model,gpt-4o-mini,4,0.0,0.0,0.0,0.0,0.0
model_style,gpt-4o-mini|single,1,0.0,0.0,0.0,0.0,0.0
model_style,gpt-4o-mini|multi_v1,1,0.0,0.0,0.0,0.0,0.0
model_style,gpt-4o-mini|multi_v2,1,0.0,0.0,0.0,0.0,0.0
model_style,gpt-4o-mini|multi_v3,1,0.0,0.0,0.0,0.0,0.0
model_dataset,doubao-seed-1-8-251228|TimeDial,4,0.0,0.0,0.166667,0.125,0.75
model_dataset_style,doubao-seed-1-8-251228|TimeDial|single,1,0.0,0.0,0.0,0.0,1.0
model_dataset_style,doubao-seed-1-8-251228|TimeDial|multi_v1,1,0.0,0.0,0.0,0.0,1.0
model_dataset_style,doubao-seed-1-8-251228|TimeDial|multi_v2,1,0.0,0.0,0.0,0.0,1.0
model_dataset_style,doubao-seed-1-8-251228|TimeDial|multi_v3,1,0.0,0.0,0.666667,0.5,0.0
model_dataset,doubao-seed-2-0-pro-260215|TimeDial,4,0.0,0.0,0.333333,0.25,0.5
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|single,1,0.0,0.0,0.666667,0.5,0.0
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|multi_v1,1,0.0,0.0,0.0,0.0,1.0
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|multi_v2,1,0.0,0.0,0.0,0.0,1.0
model_dataset_style,doubao-seed-2-0-pro-260215|TimeDial|multi_v3,1,0.0,0.0,0.666667,0.5,0.0
model_dataset,gpt-4o-mini|TimeDial,4,0.0,0.0,0.0,0.0,0.0
model_dataset_style,gpt-4o-mini|TimeDial|single,1,0.0,0.0,0.0,0.0,0.0
model_dataset_style,gpt-4o-mini|TimeDial|multi_v1,1,0.0,0.0,0.0,0.0,0.0
model_dataset_style,gpt-4o-mini|TimeDial|multi_v2,1,0.0,0.0,0.0,0.0,0.0
model_dataset_style,gpt-4o-mini|TimeDial|multi_v3,1,0.0,0.0,0.0,0.0,0.0
