group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
overall,all,1920,0.504687,0.607235,0.571169,0.55316,0.311979
model,doubao-seed-1-8-251228,640,0.507812,0.624031,0.551354,0.540234,0.353125
model_style,doubao-seed-1-8-251228|single,160,0.5125,0.627907,0.545833,0.5375,0.38125
model_style,doubao-seed-1-8-251228|multi_v1,160,0.49375,0.604651,0.53375,0.523438,0.38125
model_style,doubao-seed-1-8-251228|multi_v2,160,0.5125,0.635659,0.569167,0.554688,0.31875
model_style,doubao-seed-1-8-251228|multi_v3,160,0.5125,0.627907,0.556667,0.545312,0.33125
model,doubao-seed-2-0-pro-260215,640,0.409375,0.507752,0.425,0.421094,0.55625
model_style,doubao-seed-2-0-pro-260215|single,160,0.425,0.527132,0.4375,0.434375,0.55
model_style,doubao-seed-2-0-pro-260215|multi_v1,160,0.40625,0.503876,0.41875,0.415625,0.56875
model_style,doubao-seed-2-0-pro-260215|multi_v2,160,0.4375,0.542636,0.458333,0.453125,0.50625
model_style,doubao-seed-2-0-pro-260215|multi_v3,160,0.36875,0.457364,0.385417,0.38125,0.6
model,gpt-4o-mini,640,0.596875,0.689922,0.737152,0.698151,0.026562
model_style,gpt-4o-mini|single,160,0.6875,0.79845,0.785937,0.761042,0.025
model_style,gpt-4o-mini|multi_v1,160,0.49375,0.565891,0.693502,0.636875,0.01875
model_style,gpt-4o-mini|multi_v2,160,0.6625,0.75969,0.750833,0.728125,0.0375
model_style,gpt-4o-mini|multi_v3,160,0.54375,0.635659,0.718333,0.666563,0.025
model_group,doubao-seed-1-8-251228|TimeDial,80,0.0125,0.0,0.179167,0.1375,0.725
model_group_style,doubao-seed-1-8-251228|TimeDial|single,20,0.05,0.0,0.183333,0.15,0.75
model_group_style,doubao-seed-1-8-251228|TimeDial|multi_v1,20,0.0,0.0,0.166667,0.125,0.75
model_group_style,doubao-seed-1-8-251228|TimeDial|multi_v2,20,0.0,0.0,0.2,0.15,0.7
model_group_style,doubao-seed-1-8-251228|TimeDial|multi_v3,20,0.0,0.0,0.166667,0.125,0.7
model_group,doubao-seed-1-8-251228|SI-Bench,80,0.1875,0.1875,0.1875,0.1875,0.5
model_group_style,doubao-seed-1-8-251228|SI-Bench|single,20,0.15,0.15,0.15,0.15,0.65
model_group_style,doubao-seed-1-8-251228|SI-Bench|multi_v1,20,0.2,0.2,0.2,0.2,0.5
model_group_style,doubao-seed-1-8-251228|SI-Bench|multi_v2,20,0.25,0.25,0.25,0.25,0.4
model_group_style,doubao-seed-1-8-251228|SI-Bench|multi_v3,20,0.15,0.15,0.15,0.15,0.45
model_group,doubao-seed-1-8-251228|DROP,80,0.7375,0.7375,0.7375,0.7375,0.2625
model_group_style,doubao-seed-1-8-251228|DROP|single,20,0.7,0.7,0.7,0.7,0.3
model_group_style,doubao-seed-1-8-251228|DROP|multi_v1,20,0.7,0.7,0.7,0.7,0.3
model_group_style,doubao-seed-1-8-251228|DROP|multi_v2,20,0.75,0.75,0.75,0.75,0.25
model_group_style,doubao-seed-1-8-251228|DROP|multi_v3,20,0.8,0.8,0.8,0.8,0.2
model_group,doubao-seed-1-8-251228|pasta,80,0.2375,0.472222,0.419167,0.371875,0.475
model_group_style,doubao-seed-1-8-251228|pasta|single,20,0.25,0.555556,0.383333,0.35,0.55
model_group_style,doubao-seed-1-8-251228|pasta|multi_v1,20,0.25,0.444444,0.403333,0.3625,0.5
model_group_style,doubao-seed-1-8-251228|pasta|multi_v2,20,0.2,0.444444,0.453333,0.3875,0.4
