group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
overall,all,1200,0.6325,0.753205,0.766837,0.731931,0.045
model,doubao-seed-1-8-251228,400,0.6925,0.804487,0.7985,0.7725,0.045
model_style,doubao-seed-1-8-251228|single,100,0.67,0.7625,0.751333,0.731667,0.03
model_style,doubao-seed-1-8-251228|multi_v1,100,0.7,0.8125,0.773333,0.755,0.07
model_style,doubao-seed-1-8-251228|multi_v2,100,0.7,0.828947,0.841333,0.806667,0.04
model_style,doubao-seed-1-8-251228|multi_v3,100,0.7,0.815789,0.828,0.796667,0.04
model,doubao-seed-2-0-pro-260215,400,0.675,0.807692,0.772,0.747917,0.09
model_style,doubao-seed-2-0-pro-260215|single,100,0.64,0.75,0.733333,0.71,0.08
model_style,doubao-seed-2-0-pro-260215|multi_v1,100,0.66,0.7875,0.741333,0.721667,0.13
model_style,doubao-seed-2-0-pro-260215|multi_v2,100,0.71,0.855263,0.816667,0.79,0.07
model_style,doubao-seed-2-0-pro-260215|multi_v3,100,0.69,0.842105,0.796667,0.77,0.08
model,gpt-4o-mini,400,0.53,0.647436,0.730012,0.675375,0.0
model_style,gpt-4o-mini|single,100,0.65,0.8,0.763333,0.735,0.0
model_style,gpt-4o-mini|multi_v1,100,0.36,0.4,0.683333,0.5875,0.0
model_style,gpt-4o-mini|multi_v2,100,0.6,0.75,0.751333,0.713333,0.0
model_style,gpt-4o-mini|multi_v3,100,0.51,0.644737,0.722048,0.665667,0.0
tier,T1,240,0.175,0.0,0.626806,0.513889,0.091667
tier_style,T1|single,60,0.183333,0.0,0.652222,0.536111,0.05
model_tier_style,doubao-seed-1-8-251228|T1|single,20,0.3,0.0,0.706667,0.608333,0.05
model_tier_style,doubao-seed-2-0-pro-260215|T1|single,20,0.2,0.0,0.666667,0.55,0.1
model_tier_style,gpt-4o-mini|T1|single,20,0.05,0.0,0.583333,0.45,0.0
tier_style,T1|multi_v1,60,0.2,0.0,0.615,0.511111,0.133333
model_tier_style,doubao-seed-1-8-251228|T1|multi_v1,20,0.25,0.0,0.616667,0.525,0.15
model_tier_style,doubao-seed-2-0-pro-260215|T1|multi_v1,20,0.15,0.0,0.556667,0.458333,0.25
model_tier_style,gpt-4o-mini|T1|multi_v1,20,0.2,0.0,0.671667,0.55,0.0
tier_style,T1|multi_v2,60,0.166667,0.0,0.623889,0.511111,0.083333
model_tier_style,doubao-seed-1-8-251228|T1|multi_v2,20,0.25,0.0,0.723333,0.608333,0.05
model_tier_style,doubao-seed-2-0-pro-260215|T1|multi_v2,20,0.2,0.0,0.6,0.5,0.2
model_tier_style,gpt-4o-mini|T1|multi_v2,20,0.05,0.0,0.548333,0.425,0.0
tier_style,T1|multi_v3,60,0.15,0.0,0.616111,0.497222,0.1
model_tier_style,doubao-seed-1-8-251228|T1|multi_v3,20,0.3,0.0,0.706667,0.608333,0.1
model_tier_style,doubao-seed-2-0-pro-260215|T1|multi_v3,20,0.15,0.0,0.55,0.45,0.2
model_tier_style,gpt-4o-mini|T1|multi_v3,20,0.0,0.0,0.591667,0.433333,0.0
tier,T2,240,0.566667,0.574074,0.722659,0.682569,0.041667
tier_style,T2|single,60,0.616667,0.616667,0.627778,0.625,0.033333
model_tier_style,doubao-seed-1-8-251228|T2|single,20,0.6,0.6,0.6,0.6,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T2|single,20,0.5,0.5,0.5,0.5,0.1
model_tier_style,gpt-4o-mini|T2|single,20,0.75,0.75,0.783333,0.775,0.0
tier_style,T2|multi_v1,60,0.466667,0.466667,0.592778,0.559722,0.066667
model_tier_style,doubao-seed-1-8-251228|T2|multi_v1,20,0.55,0.55,0.55,0.55,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T2|multi_v1,20,0.45,0.45,0.45,0.45,0.2
model_tier_style,gpt-4o-mini|T2|multi_v1,20,0.4,0.4,0.778333,0.679167,0.0
tier_style,T2|multi_v2,60,0.65,0.6875,0.858333,0.805556,0.033333
model_tier_style,doubao-seed-1-8-251228|T2|multi_v2,20,0.65,0.6875,0.883333,0.825,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T2|multi_v2,20,0.7,0.75,0.833333,0.8,0.1
model_tier_style,gpt-4o-mini|T2|multi_v2,20,0.6,0.625,0.858333,0.791667,0.0
tier_style,T2|multi_v3,60,0.533333,0.541667,0.811746,0.74,0.033333
model_tier_style,doubao-seed-1-8-251228|T2|multi_v3,20,0.6,0.625,0.833333,0.775,0.05
model_tier_style,doubao-seed-2-0-pro-260215|T2|multi_v3,20,0.75,0.8125,0.883333,0.85,0.05
model_tier_style,gpt-4o-mini|T2|multi_v3,20,0.25,0.1875,0.718571,0.595,0.0
tier,T3,240,0.720833,0.720833,0.743056,0.736111,0.029167
tier_style,T3|single,60,0.75,0.75,0.75,0.75,0.033333
model_tier_style,doubao-seed-1-8-251228|T3|single,20,0.8,0.8,0.8,0.8,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T3|single,20,0.75,0.75,0.75,0.75,0.1
model_tier_style,gpt-4o-mini|T3|single,20,0.7,0.7,0.7,0.7,0.0
tier_style,T3|multi_v1,60,0.666667,0.666667,0.755556,0.727778,0.066667
model_tier_style,doubao-seed-1-8-251228|T3|multi_v1,20,0.8,0.8,0.8,0.8,0.1
model_tier_style,doubao-seed-2-0-pro-260215|T3|multi_v1,20,0.8,0.8,0.8,0.8,0.1
model_tier_style,gpt-4o-mini|T3|multi_v1,20,0.4,0.4,0.666667,0.583333,0.0
tier_style,T3|multi_v2,60,0.75,0.75,0.75,0.75,0.016667
model_tier_style,doubao-seed-1-8-251228|T3|multi_v2,20,0.75,0.75,0.75,0.75,0.05
model_tier_style,doubao-seed-2-0-pro-260215|T3|multi_v2,20,0.8,0.8,0.8,0.8,0.0
model_tier_style,gpt-4o-mini|T3|multi_v2,20,0.7,0.7,0.7,0.7,0.0
tier_style,T3|multi_v3,60,0.716667,0.716667,0.716667,0.716667,0.0
model_tier_style,doubao-seed-1-8-251228|T3|multi_v3,20,0.8,0.8,0.8,0.8,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T3|multi_v3,20,0.75,0.75,0.75,0.75,0.0
